Word,Sentiment_Score,log_scaled,min_max_scaled,z_score_scaled,robust_scaled
tsla,-484.62775426162943,0.6931471805599453,0.0,-40.43836026996211,-852.2340008349021
gme,12.278503470284312,6.212418217846884,0.9191354420307937,1.0469786315008975,21.391061096928198
amc,19.89098469955849,6.227561319966239,0.9332163701550577,1.6825237846630579,34.7747814302864
bb,1.2808319558096082,6.190128064981022,0.8987928733642109,0.12881323751405704,2.0557411881126777
bbby,0.5441256359001987,6.188616996949841,0.897430175916834,0.06730764993745565,0.7605167985183318
back,-21.76365022498785,6.141745113490616,0.856167126583929,-1.7951072972015363,-38.45942009055187
gnus,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
koss,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
lets,23.77249293185988,6.235195216343725,0.940396057931836,2.0065802479501773,41.59897174197832
shows,0.0056759871658504,6.187511129692806,0.8964341970008918,0.022353967403697703,-0.18614688382254296
fuckers,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
well,11.728887531578629,6.211315968892042,0.9181188086499318,1.0010927060812334,20.42476564176103
win,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
battle,0.7466722179556837,6.189032670548204,0.897804829564947,0.08421770785916156,1.1166197204255257
get,6.70425754686117,6.20118239931989,0.9088246703085787,0.581600146816832,11.590820378886962
intimidated,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
loss,1.5602863330262595,6.190700660720369,0.8993097845894847,0.1521441160569164,2.5470578978626546
weve,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
making,0.421161202217338,6.188364560469483,0.897202726639735,0.05704168704247413,0.5443295210991803
gains,3.189777155726606,6.194032936889673,0.9023238797921574,0.2881858300918774,5.411912181237302
month,0.8877942710454119,6.1893221843552855,0.8980658652806954,0.09599960053569971,1.3647304263224433
lol,7.307828120297091,6.202405108648512,0.9099411044391207,0.6319905965250515,12.651975015990903
stocks,-6.024299728957815,6.175042511234653,0.885280454601728,-0.48107214619124117,-10.787619146399841
game,1.252223030530173,6.190069427431132,0.89873995497815,0.1264247569055791,2.005443020741773
thrones,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
type,0.2219485677613529,6.187955457029982,0.8968342398477501,0.04040997125048154,0.1940881075404324
anyone,0.9663802125428252,6.189483368154477,0.8982112269519397,0.10256052498610106,1.502894611094471
selling,2.7896269322296448,6.193215665690257,0.9015837155321391,0.2547783867864971,4.7083966622736195
right,2.639769734764022,6.192909423716274,0.9013065222803118,0.2422672208936359,4.444928449950426
fckin,0.2189291070250199,6.187949254971971,0.8968286547029961,0.040157884765360204,0.18877950751430267
idiot,0.2189291070250199,6.187949254971971,0.8968286547029961,0.040157884765360204,0.18877950751430267
hope,-5.830389241700726,6.175445902798178,0.8856391339273476,-0.4648830921086335,-10.446699589032137
realize,0.2189291070250199,6.187949254971971,0.8968286547029961,0.040157884765360204,0.18877950751430267
tomorrow,-17.81799759258307,6.150197050053587,0.8634654632821598,-1.4656955940970189,-31.522455679840384
fcked,0.2189291070250199,6.187949254971971,0.8968286547029961,0.040157884765360204,0.18877950751430267
gon,-20.637383935785724,6.144164969375315,0.8582503993289639,-1.7010784175611209,-36.479299209911275
na,-19.064055507514524,6.147535593466503,0.8611606100535768,-1.569725547609238,-33.713185633758464
regret,0.2189291070250199,6.187949254971971,0.8968286547029961,0.040157884765360204,0.18877950751430267
im,44.0876115688131,6.274225843306614,0.9779732573688331,3.702633715508077,77.31556114129287
loading,0.9429519519520076,6.189435318307686,0.8981678913241042,0.10060456384582855,1.4617047180489893
takin,0.2189291070250199,6.187949254971971,0.8968286547029961,0.040157884765360204,0.18877950751430267
shares,-16.4073599281911,6.153201508907249,0.866074742302159,-1.347925329255553,-29.042373375095725
good,-16.983788805676255,6.151974887334134,0.8650085126001525,-1.39604979330278,-30.055809422552294
luck,-2.246941980953113,6.18287139958282,0.8922674935641028,-0.16571092082992525,-4.146538771196217
bulls,-51.93551377778444,6.074638287556719,0.8003577486339049,-4.31407333013036,-91.50543380996766
make,3.796769426494757,6.195271390892312,0.9034466430909097,0.3388619479140259,6.47908260199715
pop,1.7448613512200757,6.191078671075831,0.8996511959488622,0.1675537774636063,2.871564500851819
friday,3.2221446783144367,6.194099015482462,0.902383750515696,0.29088810566813184,5.468818445719544
spy,-34.299778226763,6.114407527400675,0.8329788503789578,-2.8417141985506102,-60.49954422166076
amzn,12.863799403572738,6.213590688366465,0.9202180732675533,1.0958433816872766,22.42008656805321
msft,4.363857352772194,6.1964270433601945,0.9044955946862638,0.3862065615961498,7.476096056760694
sndl,1.0188085209986812,6.189590886859661,0.89830820443153,0.10693762048545995,1.5950703152822
share,4.255913820023468,6.196207171171912,0.9042959298095521,0.37719465247119366,7.286317453622991
sabby,0.2547021302496703,6.188022731304927,0.8968948246354588,0.04314447623792159,0.2516730797803717
believe,2.930360480461882,6.193503177583631,0.9018440326242471,0.2665278442593584,4.955824326701638
trying,0.9152014909911604,6.189378400920409,0.8981165608532057,0.09828775406587671,1.4129158412773133
ruin,0.2547021302496703,6.188022731304927,0.8968948246354588,0.04314447623792159,0.2516730797803717
us,4.858493194307045,6.197433958434687,0.9054105305031895,0.4275023496841205,8.345729435231295
nakd,0.2547021302496703,6.188022731304927,0.8968948246354588,0.04314447623792159,0.2516730797803717
