,Open,High,Low,Close,Volume,Dividends,Stock Splits,compound
2019-12-24,27.89066696166992,28.36466789245605,27.512666702270508,28.350000381469727,120820500,0.0,0.0,0.5567934782608698
2019-12-26,28.527332305908203,28.898666381835938,28.42333221435547,28.72933387756348,159508500,0.0,0.0,0.592526631016042
2019-12-27,29.0,29.020666122436523,28.40733337402344,28.691999435424805,149185500,0.0,0.0,0.6273894146948936
2019-12-30,28.586000442504883,28.600000381469727,27.28400039672852,27.64666748046875,188796000,0.0,0.0,0.6313140798226158
2019-12-31,27.0,28.086000442504883,26.80533218383789,27.8886661529541,154285500,0.0,0.0,0.5590973201692522
2020-01-02,28.299999237060547,28.71333312988281,28.11400032043457,28.68400001525879,142981500,0.0,0.0,0.5108213263979194
2020-01-03,29.36666679382324,30.26666641235352,29.12800025939941,29.53400039672852,266677500,0.0,0.0,0.5848168632893821
2020-01-06,29.36466789245605,30.10400009155273,29.333332061767575,30.1026668548584,151995000,0.0,0.0,0.5565483530961789
2020-01-07,30.76000022888184,31.441999435424805,30.224000930786133,31.270666122436523,268231500,0.0,0.0,0.5193098159509201
2020-01-08,31.57999992370605,33.232666015625,31.215333938598636,32.80933380126953,467164500,0.0,0.0,0.5876493666026869
2020-01-09,33.13999938964844,33.25333404541016,31.524667739868164,32.089332580566406,426606000,0.0,0.0,0.5903468401487001
2020-01-10,32.11933135986328,32.3293342590332,31.57999992370605,31.87666702270508,194392500,0.0,0.0,0.6463986854460095
2020-01-13,32.900001525878906,35.04199981689453,32.79999923706055,34.990665435791016,397764000,0.0,0.0,0.5196202469135797
2020-01-14,36.28400039672852,36.49399948120117,34.99333190917969,35.861331939697266,434943000,0.0,0.0,0.6118925021795978
2020-01-15,35.31733322143555,35.85599899291992,34.452667236328125,34.56666564941406,260532000,0.0,0.0,0.6534492729306491
2020-01-16,32.91666793823242,34.297332763671875,32.81133270263672,34.232666015625,326050500,0.0,0.0,0.5795534356725135
2020-01-17,33.840667724609375,34.37799835205078,33.54399871826172,34.03333282470703,204436500,0.0,0.0,0.5781497887323948
2020-01-21,35.349998474121094,36.571998596191406,35.227333068847656,36.47999954223633,267052500,0.0,0.0,0.537303199117484
2020-01-22,38.1259994506836,39.633331298828125,37.27333450317383,37.97066879272461,470535000,0.0,0.0,0.5876257201646086
2020-01-23,37.61666870117188,38.79999923706055,37.040000915527344,38.14666748046875,294765000,0.0,0.0,0.5950758271077891
2020-01-24,38.04199981689453,38.25733184814453,36.95066833496094,37.654666900634766,215304000,0.0,0.0,0.6088715012722633
2020-01-27,36.13266754150391,37.62933349609375,35.95199966430664,37.20133209228516,204121500,0.0,0.0,0.6212358048780486
2020-01-28,37.89933395385742,38.45399856567383,37.2053337097168,37.79333114624024,176827500,0.0,0.0,0.5673513812154696
