Word,Sentiment_Score,scaling_to_range,log_scaling,Z-score,Normalizer
tsla,-484.62775426162943,0.0,-6.185442392687047,-3.3760876509708155,-0.9270241637450289
gme,12.278503470284312,0.9191354420307936,2.5861464472075983,0.08740937083114364,0.023487035794973993
amc,19.89098469955849,0.9332163701550574,3.039317711822718,0.14046929039516545,0.038048632780570656
bb,1.2808319558096082,0.8987928733642108,0.824540269308077,0.010754263465420825,0.0024500498832167724
bbby,0.5441256359001987,0.8974301759168339,0.43445781869387595,0.00561933085942912,0.001040835173299424
back,-21.76365022498785,0.8561671265839289,-3.1251649753525728,-0.1498685786908981,-0.04163077634832865
gnus,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
koss,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
lets,23.77249293185988,0.9403960579318358,3.2097338816288414,0.16752387462205318,0.04547340755146853
shows,0.0056759871658504,0.8964341970008917,0.005659939446493823,0.0018662713522013604,1.085735847685145e-05
fuckers,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
well,11.728887531578629,0.9181188086499317,2.543874019243845,0.08357848092540808,0.022435698451045243
win,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
battle,0.7466722179556837,0.8978048295649468,0.5577123878786935,0.0070311051585240135,0.001428278059511082
get,6.70425754686117,0.9088246703085786,2.041773104214975,0.04855619912288198,0.012824293885890535
intimidated,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
loss,1.5602863330262595,0.8993097845894846,0.9401191010752388,0.012702094445930592,0.00298460647446866
weve,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
making,0.421161202217338,0.8972027266397348,0.3514742854797871,0.004762253808735339,0.0008056216505433662
gains,3.189777155726606,0.9023238797921573,1.4326475477288991,0.024059843565928857,0.0061015913230675145
month,0.8877942710454119,0.8980658652806953,0.6354090951787138,0.008014743023778168,0.0016982245330695504
lol,7.307828120297091,0.9099411044391206,2.117198217342598,0.052763159391574034,0.013978838794184168
stocks,-6.024299728957815,0.8852804546017278,-1.9493755275405265,-0.04016339241105925,-0.011523631012209016
game,1.252223030530173,0.8987399549781497,0.8119177420211402,0.010554855778436657,0.0023953250664897163
thrones,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
type,0.2219485677613529,0.8968342398477499,0.20044677128865698,0.0033737175296936,0.0004245561332673875
anyone,0.9663802125428252,0.8982112269519396,0.6761943969956555,0.008562496589157174,0.0018485482940554438
selling,2.7896269322296448,0.9015837155321389,1.3322675794814116,0.021270747864697355,0.005336160695028416
right,2.639769734764022,0.9013065222803116,1.2919204199674577,0.020226224981272942,0.005049505129101531
fckin,0.2189291070250199,0.896828654702996,0.19797269214268692,0.0033526715213066834,0.00041878033310025766
idiot,0.2189291070250199,0.896828654702996,0.19797269214268692,0.0033526715213066834,0.00041878033310025766
hope,-5.830389241700726,0.8856391339273474,-1.9213816619589368,-0.038811812742538684,-0.011152707750571282
realize,0.2189291070250199,0.896828654702996,0.19797269214268692,0.0033526715213066834,0.00041878033310025766
tomorrow,-17.81799759258307,0.8634654632821596,-2.9348137306529614,-0.12236690019770463,-0.034083302437024815
fcked,0.2189291070250199,0.896828654702996,0.19797269214268692,0.0033526715213066834,0.00041878033310025766
gon,-20.637383935785724,0.8582503993289637,-3.074422556457241,-0.14201836574286145,-0.039476388664749625
na,-19.064055507514524,0.8611606100535766,-2.9989299309695365,-0.13105207533930294,-0.03646683451171405
regret,0.2189291070250199,0.896828654702996,0.19797269214268692,0.0033526715213066834,0.00041878033310025766
im,44.0876115688131,0.977973257368833,3.8086075207220347,0.30912272108818417,0.08433334840338208
loading,0.9429519519520076,0.8981678913241041,0.6642084412948979,0.008399198764829764,0.0018037333541531815
takin,0.2189291070250199,0.896828654702996,0.19797269214268692,0.0033526715213066834,0.00041878033310025766
shares,-16.4073599281911,0.8660747423021588,-2.856893101166608,-0.11253458419556009,-0.03138495264240237
